Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",1206,2,22uF,
"C11, C12, C2, C6, C7, C8",1206,6,0.1uF,
C3,1206,1,1uF,
C9,1206,1,10uF,
J1,PinSocket_1x06_P2.54mm_MagPogoHor_R,1,Conn_01x06,
J2,PinSocket_1x06_P2.54mm_MagPogoHor,1,Conn_01x06,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J4,AMPHENOL_F3311A7H121024E200,1,Connector Board,
"R1, R3, R4",1206,3,10k,
"R2, R5, R6",1206,3,5.1k,
SW13,SW_MSK12C02-HB,1,SW_Push_SPDT,
"SW14, SW15",Panasonic_EVQPUL_EVQPUC,2,SW_Push,
U1,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC165,
U5,SOT-223-3_TabPin2,1,LD1117-3.3H,
U6,SOT-23-5_HandSoldering,1,AP2151W,
U7,SOT-23-6_Handsoldering,1,USBLC6-2SC6,
