Designator,Mid X,Mid Y,Rotation,Layer
C1,127.2625,-47.2565,270.0,bottom
C10,162.4625,-42.644,90.0,bottom
C11,119.7625,-47.244,90.0,bottom
C12,113.8625,-35.244,0.0,bottom
C2,124.7625,-47.2565,270.0,bottom
C3,122.2625,-47.244,270.0,bottom
C6,114.8625,-49.944,0.0,bottom
C7,160.5625,-33.744,180.0,bottom
C8,154.8625,-36.244,180.0,bottom
C9,154.8625,-38.844,180.0,bottom
H1,103.7625,-23.044,0.0,top
H2,175.7625,-23.044,0.0,top
J3,121.8625,-22.719,180.0,bottom
J4,139.7625,-57.044,0.0,bottom
R1,127.2625,-39.794,270.0,bottom
R2,124.7625,-39.794,90.0,bottom
R3,122.2625,-39.794,270.0,bottom
R4,160.5325,-31.244,180.0,bottom
R5,113.8625,-30.244,0.0,bottom
R6,113.8625,-32.754,0.0,bottom
SW13,156.1375,-20.7265,0.0,bottom
SW14,135.3125,-21.044,0.0,bottom
SW15,145.9125,-21.044,0.0,bottom
U1,139.7125,-38.469,180.0,bottom
U4,113.9625,-42.944,90.0,bottom
U5,156.525,-44.244,0.0,bottom
U6,154.6625,-32.744,0.0,bottom
U7,125.5125,-31.0565,0.0,bottom
