Designator,Mid X,Mid Y,Rotation,Layer
C1,130.8125,-45.279,90.0,bottom
C2,146.9525,-45.119,90.0,bottom
C3,113.4875,-42.974,90.0,bottom
H1,108.8625,-32.619,0.0,top
H2,170.8625,-32.619,0.0,top
H3,170.8625,-66.619,0.0,top
H4,108.8625,-66.619,0.0,top
LED1,120.8125,-44.794,180.0,bottom
LED2,139.8625,-44.794,180.0,bottom
LED3,158.9175,-44.794,180.0,bottom
LED4,158.9075,-63.844,180.0,bottom
LED5,139.8675,-63.844,180.0,bottom
LED6,120.8175,-63.844,180.0,bottom
SW1,120.8125,-40.094,0.0,top
SW2,139.8625,-40.094,0.0,top
SW3,158.9125,-40.094,0.0,top
SW4,120.8125,-59.144,0.0,top
SW5,139.8625,-59.144,0.0,top
SW6,158.9125,-59.144,0.0,top
U1,114.3025,-45.694,180.0,bottom
U2,130.0825,-49.6365,0.0,bottom
U3,147.205,-49.409,0.0,bottom
