Designator,Mid X,Mid Y,Rotation,Layer
C1,130.5925,-57.449,90.0,bottom
C2,150.36,-57.579,90.0,bottom
C3,117.3125,-58.799,90.0,bottom
H1,108.8625,-32.619,0.0,top
H2,170.8625,-32.619,0.0,top
H3,170.8625,-66.619,0.0,top
H4,108.8625,-66.619,0.0,top
H5,139.8625,-49.619,0.0,top
LED1,115.8625,-49.619,90.0,bottom
LED2,163.3625,-49.844,90.0,bottom
MT1,139.8625,-47.367,180.0,top
SW1,139.8625,-45.119,0.0,top
SW2,139.8625,-54.119,0.0,top
U1,118.1275,-61.519,180.0,bottom
U2,129.8625,-61.8065,0.0,bottom
U3,150.6125,-61.869,0.0,bottom
