Designator,Mid X,Mid Y,Rotation,Layer
C3,182.0625,-65.179,180.0,top
C4,182.0625,-62.639,180.0,top
C5,192.2225,-67.719,0.0,top
H1,108.8625,-32.619,0.0,top
H10,224.4805,-64.163,0.0,top
H11,213.3625,-27.119,0.0,top
H12,213.3625,-72.869,0.0,top
H2,170.8625,-32.619,0.0,top
H3,170.8625,-66.619,0.0,top
H4,108.8625,-66.619,0.0,top
H5,103.3225,-27.079,0.0,top
H6,103.3225,-72.799,0.0,top
H7,225.2425,-27.079,0.0,top
H8,225.2425,-72.799,0.0,top
H9,224.4805,-50.447,0.0,top
U1,188.845,-68.369,180.0,top
U4,189.0725,-62.639,180.0,top
